post_text,label,split
try to have as good a life as you can under the circumstances . ,positive,train
" realdonaldtrump full of yourself ? ? remember , no matter what you think of yourself office you re only of , https t . co ervjoveqrd",positive,train
" politicomag o man woman if we had mr . truman ! ! ! ! hey , we can act like him ! ! ! ! defend america against sins agai https t . co t s anw a",positive,train
two and a half hours late to work ,positive,train
michael tarallo is now following me on twitter ! thank you michael tarallo ! say hello anyti https t . co c tb xqbvn https t . co tyzq azlrb,positive,train
which would you rather have ,positive,train
 yongzter i miss you more yong ourfourthluckysun,positive,train
 gha sudin done and done . haha,positive,train
 maskstim see you on the next level . . . season . . . ? ,positive,train
rt dj rocklee the fresh prince of bel air gets added to netflix tomorrow me https t . co ezfk bco h,positive,train
rt rae dawn chong the douchebag our soon to be leader . the same sleaze who mocked the disabled reporter is lying about it again . he . . . ht ,positive,train
drawing underboobs in public missionimpossible,positive,train
we will always fight for you wearepayting foryong,positive,train
 the oa i m honestly so pissed right now and i have so many regrets,positive,train
user andrep https t . co eclcnqbhah,positive,train
"i feel this way and every time i remember that i feel this way , it s like i m feeling it for the first time and it scares and hurts me . ",positive,train
"rt madelainepetsch cherry cola , of course . days . riverdale https t . co olptezoax",positive,train
 dearjohns ur so cute ily i also love the moon choker ! ! ! ,positive,train
 lydiamcrtins i did and i have work in like hours so i wanna die a little but it s fine,positive,train
slow down they don t love you like i love you,positive,train
" salon trump on n . korean nukes , china issuesand joe scarborough treating as comedy today ! ! watch first third hour https t . co ggb ucpn m",positive,train
california sends devastating message to trump you re not our president https t . co qnsthx xa via political dig well thanks from m ! ,positive,train
rt da michaelscott the realest https t . co xke njkols,positive,train
rt mizkpoto is orin hatch finished sucking up yet ? jeffsessions stopsessions sessions,positive,train
 hananyxnyx swordie,positive,train
not everything you lose is a lost tuesyong tilltheend,positive,train
 mcccain your strident bashing of pres . obama is sicking ! djt denigrated u so bad amp you spend the last days of the https t . co wjkdm ona ,positive,train
rt rgay welp . violating women never gets in the way of a white man s career,positive,train
me as a teacher anak awak perangai macam haram . sila pakai condom next time . do the world a favour . https t . co cjigd d gs,positive,train
blocked https t . co q f ckvvv,positive,train
get out . https t . co w zckznuqd,positive,train
try to relax and enjoy the crisis . ashleigh brilliant,positive,train
 adclaidekanes this was in my drafts but hey thanks s ,positive,train
" josinaanderson i love your work , but i love you more . lol",positive,train
aaa intermodal ephrata trucking llc https t . co kcvhc pn,positive,train
 nuyayaa ashrafariff thankyou ! ,positive,train
rt daniel akhtar who s chimney you dropping down tonight asyed ,positive,train
who is this leaving in this flashback and why does kirsten hate her dad so bad,positive,train
be with someone who makes you laugh gopaytwin yong,positive,train
i feel sick to my stomach . ,positive,train
